DataOrder,DataSize,SortName,Comparison,RunTime
Randomize,10000,selection-sort,100019998,77
Randomize,10000,insertion-sort,50004673,46
Randomize,30000,selection-sort,900059998,717
Randomize,30000,insertion-sort,448047753,436
Randomize,50000,selection-sort,2500099998,1933
Randomize,50000,insertion-sort,1255611855,1106
Randomize,100000,selection-sort,10000199998,7804
Randomize,100000,insertion-sort,4992219348,4908
Randomize,300000,selection-sort,90000599998,74039
Randomize,300000,insertion-sort,44980965900,51842
Randomize,500000,selection-sort,250000999998,214275
Randomize,500000,insertion-sort,125004901960,216302
Sorted,10000,selection-sort,100019998,128
Sorted,10000,insertion-sort,29998,0
Sorted,30000,selection-sort,900059998,1137
Sorted,30000,insertion-sort,89998,0
Sorted,50000,selection-sort,2500099998,3209
Sorted,50000,insertion-sort,149998,0
Sorted,100000,selection-sort,10000199998,12954
Sorted,100000,insertion-sort,299998,0
Sorted,300000,selection-sort,90000599998,117474
Sorted,300000,insertion-sort,899998,1
Sorted,500000,selection-sort,250000999998,680380
Sorted,500000,insertion-sort,1499998,13
Reverse,10000,selection-sort,100019998,86
Reverse,10000,insertion-sort,100009999,104
Reverse,30000,selection-sort,900059998,735
Reverse,30000,insertion-sort,900029999,895
Reverse,50000,selection-sort,2500099998,2119
Reverse,50000,insertion-sort,2500049999,2586
Reverse,100000,selection-sort,10000199998,8964
Reverse,100000,insertion-sort,10000099999,9305
Reverse,300000,selection-sort,90000599998,71957
Reverse,300000,insertion-sort,90000299999,96717
Reverse,500000,selection-sort,250000999998,213147
Reverse,500000,insertion-sort,250000499999,320473
Nearly Sorted,10000,selection-sort,100019998,117
Nearly Sorted,10000,insertion-sort,130006,0
Nearly Sorted,30000,selection-sort,900059998,1108
Nearly Sorted,30000,insertion-sort,483082,1
Nearly Sorted,50000,selection-sort,2500099998,3071
Nearly Sorted,50000,insertion-sort,657022,1
Nearly Sorted,100000,selection-sort,10000199998,12400
Nearly Sorted,100000,insertion-sort,801798,0
Nearly Sorted,300000,selection-sort,90000599998,74484
Nearly Sorted,300000,insertion-sort,1257782,1
Nearly Sorted,500000,selection-sort,250000999998,179420
Nearly Sorted,500000,insertion-sort,1980218,2
Randomize,10000,bubble-sort,100009999,281
Randomize,30000,bubble-sort,900029999,2661
Randomize,50000,bubble-sort,2500049999,8034
Randomize,100000,bubble-sort,10000099999,32127
Randomize,300000,bubble-sort,90000299999,309904
Randomize,500000,bubble-sort,250000499999,930460
Sorted,10000,bubble-sort,100009999,86
Sorted,30000,bubble-sort,900029999,511
Sorted,50000,bubble-sort,2500049999,1584
Sorted,100000,bubble-sort,10000099999,6301
Sorted,300000,bubble-sort,90000299999,111176
Sorted,500000,bubble-sort,250000499999,199611
Reverse,10000,bubble-sort,100009999,248
Reverse,30000,bubble-sort,900029999,2445
Reverse,50000,bubble-sort,2500049999,5865
Reverse,100000,bubble-sort,10000099999,29792
Reverse,300000,bubble-sort,90000299999,390592
Reverse,500000,bubble-sort,250000499999,1129243
Nearly Sorted,10000,bubble-sort,100009999,68
Nearly Sorted,30000,bubble-sort,900029999,538
Nearly Sorted,50000,bubble-sort,2500049999,1472
Nearly Sorted,100000,bubble-sort,10000099999,6352
Nearly Sorted,300000,bubble-sort,90000299999,110911
Nearly Sorted,500000,bubble-sort,250000499999,154619
Randomize,10000,heap-sort,483951,4
Randomize,10000,merge-sort,552628,4
Randomize,10000,quick-sort,176383,3
Randomize,30000,heap-sort,1640250,7
Randomize,30000,merge-sort,1845876,7
Randomize,30000,quick-sort,575193,5
Randomize,50000,heap-sort,2884572,11
Randomize,50000,merge-sort,3227766,14
Randomize,50000,quick-sort,1049791,8
Randomize,100000,heap-sort,6170213,23
Randomize,100000,merge-sort,6855306,28
Randomize,100000,quick-sort,2121148,17
Randomize,300000,heap-sort,20393823,87
Randomize,300000,merge-sort,22460074,83
Randomize,300000,quick-sort,7012080,53
Randomize,500000,heap-sort,35443629,143
Randomize,500000,merge-sort,38870724,157
Randomize,500000,quick-sort,11714795,83
Sorted,10000,heap-sort,508373,1
Sorted,10000,merge-sort,436444,1
Sorted,10000,quick-sort,244998,0
Sorted,30000,heap-sort,1706548,4
Sorted,30000,merge-sort,1453468,4
Sorted,30000,quick-sort,1046886,2
Sorted,50000,heap-sort,3002047,9
Sorted,50000,merge-sort,2533948,8
Sorted,50000,quick-sort,2245704,3
Sorted,100000,heap-sort,6414226,17
Sorted,100000,merge-sort,5367900,15
Sorted,100000,quick-sort,6980001,8
Sorted,300000,heap-sort,21102070,55
Sorted,300000,merge-sort,17508316,51
Sorted,300000,quick-sort,50702945,58
Sorted,500000,heap-sort,36549186,99
Sorted,500000,merge-sort,30336412,92
Sorted,500000,quick-sort,133456693,153
Reverse,10000,heap-sort,460075,1
Reverse,10000,merge-sort,455243,1
Reverse,10000,quick-sort,238772,0
Reverse,30000,heap-sort,1574112,6
Reverse,30000,merge-sort,1499915,4
Reverse,30000,quick-sort,1041790,1
Reverse,50000,heap-sort,2763832,8
Reverse,50000,merge-sort,2622827,7
Reverse,50000,quick-sort,2242044,3
Reverse,100000,heap-sort,5921509,16
Reverse,100000,merge-sort,5545659,15
Reverse,100000,quick-sort,6971975,9
Reverse,300000,heap-sort,19693133,52
Reverse,300000,merge-sort,18045947,46
Reverse,300000,quick-sort,50431753,51
Reverse,500000,heap-sort,34314898,92
Reverse,500000,merge-sort,31017851,80
Reverse,500000,quick-sort,133330620,120
Nearly Sorted,10000,heap-sort,508117,2
Nearly Sorted,10000,merge-sort,464273,1
Nearly Sorted,10000,quick-sort,227136,0
Nearly Sorted,30000,heap-sort,1706465,9
Nearly Sorted,30000,merge-sort,1531408,6
Nearly Sorted,30000,quick-sort,1007843,1
Nearly Sorted,50000,heap-sort,3001786,7
Nearly Sorted,50000,merge-sort,2638724,7
Nearly Sorted,50000,quick-sort,1697383,2
Nearly Sorted,100000,heap-sort,6414009,15
Nearly Sorted,100000,merge-sort,5472676,15
Nearly Sorted,100000,quick-sort,6065699,7
Nearly Sorted,300000,heap-sort,21102021,61
Nearly Sorted,300000,merge-sort,17607784,48
Nearly Sorted,300000,quick-sort,47519931,70
Nearly Sorted,500000,heap-sort,36549260,97
Nearly Sorted,500000,merge-sort,30434110,84
Nearly Sorted,500000,quick-sort,128573658,126
Randomize,10000,shell-sort,637285,1
Randomize,10000,counting-sort,79994,0
Randomize,10000,radix-sort,140056,0
Randomize,10000,flash-sort,96694,0
Randomize,30000,shell-sort,2231262,5
Randomize,30000,counting-sort,239992,0
Randomize,30000,radix-sort,510070,3
Randomize,30000,flash-sort,303037,0
Randomize,50000,shell-sort,4468000,10
Randomize,50000,counting-sort,365531,1
Randomize,50000,radix-sort,850070,7
Randomize,50000,flash-sort,470232,2
Randomize,100000,shell-sort,10501930,22
Randomize,100000,counting-sort,665531,2
Randomize,100000,radix-sort,1700070,21
Randomize,100000,flash-sort,924823,3
Randomize,300000,shell-sort,34279776,74
Randomize,300000,counting-sort,1865531,3
Randomize,300000,radix-sort,5100070,30
Randomize,300000,flash-sort,2715858,11
Randomize,500000,shell-sort,62929189,128
Randomize,500000,counting-sort,3065531,5
Randomize,500000,radix-sort,8500070,54
Randomize,500000,flash-sort,4482890,30
Sorted,10000,shell-sort,360042,0
Sorted,10000,counting-sort,70003,0
Sorted,10000,radix-sort,140056,0
Sorted,10000,flash-sort,127992,0
Sorted,30000,shell-sort,1170050,0
Sorted,30000,counting-sort,210003,0
Sorted,30000,radix-sort,510070,3
Sorted,30000,flash-sort,383992,0
Sorted,50000,shell-sort,2100049,1
Sorted,50000,counting-sort,350003,0
Sorted,50000,radix-sort,850070,5
Sorted,50000,flash-sort,639992,1
Sorted,100000,shell-sort,4500051,2
Sorted,100000,counting-sort,700003,1
Sorted,100000,radix-sort,1700070,10
Sorted,100000,flash-sort,1279992,2
Sorted,300000,shell-sort,15300061,9
Sorted,300000,counting-sort,2100003,4
Sorted,300000,radix-sort,6000084,37
Sorted,300000,flash-sort,3839992,7
Sorted,500000,shell-sort,25500058,17
Sorted,500000,counting-sort,3500003,7
Sorted,500000,radix-sort,10000084,74
Sorted,500000,flash-sort,6399992,12
Reverse,10000,shell-sort,475175,0
Reverse,10000,counting-sort,80002,0
Reverse,10000,radix-sort,140056,0
Reverse,10000,flash-sort,110501,0
Reverse,30000,shell-sort,1554051,1
Reverse,30000,counting-sort,240002,0
Reverse,30000,radix-sort,510070,3
Reverse,30000,flash-sort,331501,0
Reverse,50000,shell-sort,2844628,2
Reverse,50000,counting-sort,400002,0
Reverse,50000,radix-sort,850070,5
Reverse,50000,flash-sort,552501,1
Reverse,100000,shell-sort,6089190,5
Reverse,100000,counting-sort,800002,1
Reverse,100000,radix-sort,1700070,10
Reverse,100000,flash-sort,1105001,2
Reverse,300000,shell-sort,20001852,16
Reverse,300000,counting-sort,2400002,4
Reverse,300000,radix-sort,6000084,42
Reverse,300000,flash-sort,3315001,7
Reverse,500000,shell-sort,33857581,27
Reverse,500000,counting-sort,4000002,6
Reverse,500000,radix-sort,10000084,75
Reverse,500000,flash-sort,5525001,12
Nearly Sorted,10000,shell-sort,410381,0
Nearly Sorted,10000,counting-sort,79661,0
Nearly Sorted,10000,radix-sort,140056,1
Nearly Sorted,10000,flash-sort,127958,0
Nearly Sorted,30000,shell-sort,1342993,1
Nearly Sorted,30000,counting-sort,239464,0
Nearly Sorted,30000,radix-sort,510070,3
Nearly Sorted,30000,flash-sort,383964,0
Nearly Sorted,50000,shell-sort,2275064,1
Nearly Sorted,50000,counting-sort,375345,0
Nearly Sorted,50000,radix-sort,850070,5
Nearly Sorted,50000,flash-sort,639962,1
Nearly Sorted,100000,shell-sort,4675066,3
Nearly Sorted,100000,counting-sort,725345,2
Nearly Sorted,100000,radix-sort,1700070,11
Nearly Sorted,100000,flash-sort,1279964,4
Nearly Sorted,300000,shell-sort,15448458,17
Nearly Sorted,300000,counting-sort,2125345,4
Nearly Sorted,300000,radix-sort,6000084,37
Nearly Sorted,300000,flash-sort,3839962,11
Nearly Sorted,500000,shell-sort,25635492,31
Nearly Sorted,500000,counting-sort,3525345,6
Nearly Sorted,500000,radix-sort,10000084,80
Nearly Sorted,500000,flash-sort,6399962,20
Randomize,10000,shaker-sort,65816441,164
Randomize,30000,shaker-sort,604006153,1811
Randomize,50000,shaker-sort,1664535919,5688
Randomize,100000,shaker-sort,6674344679,35379
Randomize,300000,shaker-sort,59946338832,381653
Randomize,500000,shaker-sort,166932063782,1052711
Sorted,10000,shaker-sort,20002,0
Sorted,30000,shaker-sort,60002,0
Sorted,50000,shaker-sort,100002,0
Sorted,100000,shaker-sort,200002,0
Sorted,300000,shaker-sort,600002,0
Sorted,500000,shaker-sort,1000002,0
Reverse,10000,shaker-sort,100005001,132
Reverse,30000,shaker-sort,900015001,1232
Reverse,50000,shaker-sort,2500025001,4887
Reverse,100000,shaker-sort,10000050001,55682
Reverse,300000,shaker-sort,90000150001,491851
Reverse,500000,shaker-sort,250000250001,1247005
Nearly Sorted,10000,shaker-sort,142613,0
Nearly Sorted,30000,shaker-sort,589535,1
Nearly Sorted,50000,shaker-sort,629712,1
Nearly Sorted,100000,shaker-sort,829712,0
Nearly Sorted,300000,shaker-sort,1629712,1
Nearly Sorted,500000,shaker-sort,2429712,1

